word	segments	num_segments	sentence
prosenttiin	prosentti-in	2	Inflaatio nousi viiteen prosenttiin viime kuussa.
puolestaan	puolesta-an	2	Hänen puolestaan asialla ei ollut merkitystä.
ratkaisua	ratkaisu-a	2	Etsimme edelleen ongelmaan ratkaisua.
säätöä	säätö-ä	2	Tässä projektissa on ollut todella paljon säätöä.
salaukset	salaukse-t	2	Tietokoneiden salaukset ovat tärkeitä tietoturvan kannalta.
seitsemältä	seitsemä-ltä	2	Hän herää joka aamu seitsemältä.
silloisesta	silloise-sta	2	Hän muisti kuitenkin asioita silloisesta elämästään.
sosiaalisen	sosiaalise-n	2	Hän on erittäin aktiivinen sosiaalisen median käyttäjä.
S-ryhmän	S-ryhmän	2	S-ryhmän kaupat ovat suosittuja Suomessa.
suojattinsa	suojatti-nsa	2	Hän otti suojattinsa turvaan myrskyn alta.
suosituin	suositu-in	2	Hän on luokkansa suosituin opiskelija.
suuren	suure-n	2	Hän sai suuren kunnianosoituksen työstään.
taakseen	taakse-en	2	Hän katsoi taakseen ennen kuin ylitti tien.
tapahtunut	tapahtu-nut	2	Mitä on tapahtunut sinun päiväsi aikana?
tehdään	teh-dään	2	Huomenna tehdään suuri siivous.
tiiminä	tiimi-nä	2	Me työskentelemme tiiminä tämän projektin parissa.
tulevaksi	tuleva-ksi	2	Hän säilöi hilloa purnukoihin tulevaksi talveksi.
uraa	ura-a	2	Muutettuaan ulkomaille, hän teki uraa lääkärinä.
uudella	uude-lla	2	Hän osti uudella luottokortillaan uuden tietokoneen.
uusia	uusi-a	2	Hänellä on paljon uusia ideoita.
väen	väe-n	2	Väen määrä kasvoi nopeasti tapahtuman aikana.
vaivautunut	vaivautu-nut	2	Hän näytti vaivautuneelta koko illan.
valinnut	valin-nut	2	Olen valinnut sinut olemaan ystäväni.
vasemmistoliitolle	vasemmistoliito-lle	2	Anna äänesi Vasemmistoliitolle seuraavissa vaaleissa.
vasemmiston	vasemmisto-n	2	Vasemmiston ehdokas voitti vaalit.
vieraaksi	vieraa-ksi	2	Hän tunsi itsensä vieraaksi omassa kodissaan.
vuoksi	vuo-ksi	2	Hän joutui lähtemään töistä aikaisin sairauden vuoksi.
yksinkertaisella	yksinkertaise-lla	2	Voit ratkaista tämän ongelman yksinkertaisella tavalla.
yksinkertaista	yksin-kertaista	2	Tämä on hyvin yksinkertaista.
ymmärtänyt	ymmärtä-nyt	2	En ymmärtänyt kaikkea, mitä sanoit.
yöpaikka	yö-paikka	2	Tuolla saattaa olla seuraava yöpaikka.
