word	segments	num_segments	sentence
saattaisinpas	saatta-isi-n-pa-s	5	Jos olisin tiennyt, saattaisinpas toimia toisin.
saavatkohan	saa-va-t-ko-han	5	Saavatkohan he koskaan tietää totuuden?
sainkohan	sa-i-n-ko-han	5	Sainkohan minä kaikki tarvittavat tiedot?
sainpas	sa-i-n-pa-s	5	Sainpas vihdoin tuon työprojektin valmiiksi.
saitkohan	sa-i-t-ko-han	5	Saitkohan sinä sen kirjeen, jonka lähetin?
sanoinkohan	sano-i-n-ko-han	5	Sanoinkohan sen oikein?
selviävätköhän	selviä-vä-t-kö-hän	5	Selviävätköhän he tästä tilanteesta?
selviytyisivätköhän	selviyty-isi-vät-kö-hän	5	Mietin, selviytyisivätköhän he tästä haasteesta.
soolokeikoillaankin	soolokeiko-i-lla-an-kin	5	Muusikko esiintyy soolokeikoillaankin suurella intohimolla.
suunnittelevatkohan	suunnittele-va-t-ko-han	5	Suunnittelevatkohan he matkaa ulkomaille ensi kesänä?
syyskuussakohan	syys-kuu-ssa-ko-han	5	Syyskuussakohan se uusi lukukausi alkaa?
tajusivatkohan	tajus-i-vat-ko-han	5	Tajusivatkohan he mitä oikein tapahtui?
tarvinneekohan	tarvin-ne-e-ko-han	5	Tarvinneekohan meidän ostaa lisää maitoa kaupasta?
tietokoneohjelmien	tieto-kone-ohjelm-i-en	5	Hän on erikoistunut tietokoneohjelmien kehittämiseen.
tulinpas	tul-i-n-pa-s	5	Tulinpas myöhään kotiin eilen illalla.
ulkoasiainvaliokunnan	ulko-asiain-valio-kunna-n	5	Hän on ulkoasiainvaliokunnan uusi jäsen.
unohtivatkohan	unoht-i-vat-ko-han	5	Unohtivatkohan he avaimet kotiin?
väitöskirjantekijöiden	väitös-kirja-ntekijö-i-den	5	Väitöskirjantekijöiden työ on usein pitkä ja monimutkainen prosessi.
vanhimmillaankin	vanhimm-i-lla-an-kin	5	Vanhimmillaankin hän on yhä täynnä energiaa ja elämäniloa.
voisivatkohan	voi-siva-t-ko-han	5	Voisivatkohan he tulla meille illalliselle?
voitaisiinkohan	voi-ta-isiin-ko-han	5	Voitaisiinkohan mennä elokuviin tänä iltana?
voivatkohan	voi-va-t-ko-han	5	Voivatkohan he tulla juhliin myöhässä?
