word	segments	num_segments	sentence
ollaanpas	ol-laan-pa-s	4	Ollaanpas me onnellisia tästä uudesta kodista.
oonkohan	oo-n-ko-han	4	Oonkohan unohtanut avaimeni kotiin?
osoittavinaan	osoitta-v-ina-an	4	Hän oli osoittavinaan oikeaan suuntaan.
otetaanpas	ote-taan-pa-s	4	Otetaanpas hetki rennosti ja mietitään tätä rauhassa.
otsallaankin	otsa-lla-an-kin	4	Hiki näkyi jo hänen otsallaankin.
päästäänköhän	pääs-tään-kö-hän	4	Päästäänköhän me tänään jo kotiin?
painaakohan	paina-a-ko-han	4	Painaakohan tuo nappi oikeasti jotain?
päivittäistavarakaupan	päivittäis-tavara-kaupa-n	4	Hän työskentelee päivittäistavarakaupan kassalla.
pidelläänköhän	pidel-lään-kö-hän	4	Pidelläänköhän tätä esinettä varovasti?
pidettyjen	pidet-ty-j-en	4	Tämä on jo pidettyjen konferenssien osoite.
presidentinvaaleissa	presidentin-vaale-i-ssa	4	Hän aikoo äänestää seuraavissa presidentinvaaleissa.
punaviinien	puna-viin-i-en	4	Punaviinien maistelu on yksi suosikkiharrastuksistani.
pystyisköhän	pysty-is-kö-hän	4	Pystyisköhän hän auttamaan minua tässä projektissa?
raha-asioiden	raha-asio-i-den	4	Hän on erittäin taitava raha-asioiden kanssa.
säännönmukaisuuksia	säännön-mukaisuuks-i-a	4	Tutkimuksessa havaittiin useita säännönmukaisuuksia ilmiöiden välillä.
sanoiskohan	sano-is-ko-han	4	Sanoiskohan hän minulle totuuden, jos kysyisin suoraan?
sanotaanpas	sano-taan-pa-s	4	Sanotaanpas, että meillä on kaikki tarvittava onnistuneeseen päivään.
silmiään	silm-i-ä-än	4	Hän hieroi väsyneitä silmiään.
siskollaankin	sisko-lla-an-kin	4	Hänen siskollaankin on enemmän rahaa kuin minulla.
suomalaisäänestäjistä	suomalai-säänestäj-i-stä	4	Suomalaisäänestäjistä suurin osa kannattaa ympäristönsuojelua.
täyttäviä	täyttä-v-i-ä	4	Etsin täyttäviä aterioita pitkälle työpäivälle.
tiedätteköhän	tiedä-tte-kö-hän	4	Tiedätteköhän, missä lähin ruokakauppa on?
tietoverkkojen	tieto-verkko-j-en	4	Tietoverkkojen turvallisuus on nyky-yhteiskunnassa erittäin tärkeää.
tilintarkastustuomioistuimeen	tilin-tarkastustuomio-istuime-en	4	Hän jätti valituksen tilintarkastustuomioistuimeen.
tulkaapas	tul-kaa-pa-s	4	Tulkaapas tänne, minulla on teille jotain näytettävää.
unohtuukohan	unohtu-u-ko-han	4	Unohtuukohan taas avaimet kotiin?
vaaliuurnilta	vaali-uurn-i-lta	4	Iltaan mennessä äänestäjät olivatkin jo kaikonneet vaaliuurnilta.
vaikutusvaltaisimman	vaikutus-valtais-imma-n	4	Hän on maamme vaikutusvaltaisimman yrityksen toimitusjohtaja.
yliopistojen	yli-opisto-j-en	4	Yliopistojen rooli yhteiskunnassa on erittäin tärkeä.
